Scenario,Tested_Limit(R_max),Avg_Req_Min(R_avg),Burst_Ratio_%,JFI(J),Block_Rate_%
Micro_1,30,25,0.00,0.9427,0.00
Micro_2,60,53,43.40,0.7363,0.00
Micro_3,80,69,20.29,0.9142,0.00
Trans_1,100,179,49.72,0.5026,44.13
Trans_2,150,189,53.44,0.5743,20.63
Trans_3,200,236,52.12,0.6310,15.25
Mid_1,300,359,63.51,0.4932,16.43
Mid_2,400,307,57.65,0.7030,0.00
Mid_3,500,427,60.66,0.7020,0.00
Scale_1,600,551,66.97,0.5759,0.00
Scale_2,700,604,64.74,0.6405,0.00
Scale_3,800,676,69.08,0.6020,0.00
Stress_1,1000,819,64.71,0.7117,0.00
Stress_2,1200,1173,71.18,0.6579,0.00
Stress_3,1500,1470,71.50,0.6029,0.00
Stress_Peak,2000,1676,71.36,0.6700,0.00
